Artist,Song,Explicit,Explicit_f,Year,Popularity,Popularity_f,Danceability,Energy,Speechiness,Acousticness,Liveness,Valence,Genre
Camila Cabello,Havana (feat. Young Thug),0,FALSE,2017,0.2,20,0.768,0.517,0.0312,0.186,0.104,0.418,pop
Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),1,TRUE,2012,0.2,20,0.781,0.526,0.293,0.0619,0.0457,0.662,"hip hop, pop"
Jonas Blue,Fast Car,0,FALSE,2015,0.2,20,0.459,0.587,0.0785,0.453,0.307,0.581,"pop, Dance/Electronic"
Nelly Furtado,I'm Like A Bird,0,FALSE,2000,0.2,20,0.622,0.608,0.036,0.138,0.273,0.607,"hip hop, pop, latin"
Rich Homie Quan,"Flex (Ooh, Ooh, Ooh)",1,TRUE,2015,0.2,20,0.676,0.615,0.0496,0.0384,0.341,0.883,"hip hop, pop"
Post Malone,Goodbyes (Feat. Young Thug),1,TRUE,2019,0.2,20,0.58,0.653,0.0745,0.447,0.111,0.175,hip hop
Jax Jones,You Don't Know Me - Radio Edit,1,TRUE,2016,0.2,20,0.876,0.669,0.138,0.163,0.185,0.682,"hip hop, pop, Dance/Electronic"
Nelly Furtado,Turn Off The Light,0,FALSE,2000,0.2,20,0.587,0.679,0.0927,0.0839,0.413,0.65,"hip hop, pop, latin"
Ray J,Sexy Can I feat. Yung Berg,1,TRUE,2008,0.2,20,0.575,0.684,0.325,0.299,0.614,0.926,"hip hop, pop, R&B"
Gigi D'Agostino,L'Amour Toujours,0,FALSE,2011,0.2,20,0.617,0.728,0.0292,0.0328,0.36,0.808,pop
Daya,"Sit Still, Look Pretty",0,FALSE,2016,0.2,20,0.657,0.739,0.274,0.141,0.178,0.543,"rock, pop, Dance/Electronic"
Little Mix,Shout Out to My Ex,0,FALSE,2017,0.2,20,0.773,0.747,0.0889,0.0239,0.11,0.8,pop
Lil Wayne,6 Foot 7 Foot,1,TRUE,2011,0.2,20,0.364,0.752,0.304,0.0007,0.318,0.606,"hip hop, pop"
Reik,Me Niego (feat. Ozuna & Wisin),0,FALSE,2018,0.2,20,0.777,0.779,0.0972,0.0543,0.636,0.768,"pop, latin"
Imagine Dragons,Believer,0,FALSE,2017,0.2,20,0.779,0.787,0.108,0.0524,0.14,0.708,rock
Yolanda Be Cool,We No Speak Americano (JT Radio Edit),0,FALSE,2010,0.2,20,0.901,0.805,0.0464,0.0712,0.0923,0.737,Dance/Electronic
Imagine Dragons,Thunder,0,FALSE,2017,0.2,20,0.6,0.81,0.0479,0.00683,0.155,0.298,rock
M.I.A.,Paper Planes,0,FALSE,2007,0.2,20,0.447,0.848,0.222,0.033,0.65,0.485,"pop, rock"
Guru Josh Project,Infinity 2008,0,FALSE,2011,0.2,20,0.493,0.849,0.0576,0.000337,0.355,0.483,hip hop
BLACKPINK,Kill This Love,0,FALSE,2019,0.2,20,0.738,0.861,0.237,0.318,0.325,0.58,pop
Little Mix,Black Magic,0,FALSE,2015,0.2,20,0.777,0.896,0.0619,0.0352,0.317,0.843,pop
Bingo Players,Get Up (Rattle) - Vocal Edit,0,FALSE,2013,0.2,20,0.801,0.985,0.0645,0.0205,0.296,0.722,"pop, Dance/Electronic"
AWOLNATION,Sail,0,FALSE,2011,0.2,20,0.825,0.435,0.0568,0.452,0.0953,0.243,"pop, rock"
Mr. Probz,Waves - Robin Schulz Radio Edit,0,FALSE,2014,0.2,20,0.829,0.51,0.0369,0.00821,0.0829,0.45,"hip hop, Dance/Electronic"
T-Pain,Buy U a Drank (Shawty Snappin') (feat. Yung Joc),0,FALSE,2007,0.2,20,0.451,0.55,0.262,0.0108,0.0737,0.594,"hip hop, pop, R&B"
Jay Sean,Do You Remember,0,FALSE,2009,0.2,20,0.855,0.668,0.0644,0.0242,0.102,0.803,"hip hop, pop, R&B"
Adele,Set Fire to the Rain,0,FALSE,2011,0.2,20,0.603,0.67,0.0249,0.00408,0.112,0.445,"pop, R&B"
Lauv,i'm so tired...,0,FALSE,2019,0.2,20,0.599,0.733,0.203,0.176,0.242,0.534,"pop, Dance/Electronic"
Adele,Rolling in the Deep,1,TRUE,2011,0.2,20,0.73,0.77,0.0298,0.138,0.0473,0.507,"pop, R&B"
The xx,Intro,0,FALSE,2009,0.2,20,0.617,0.778,0.027,0.459,0.128,0.152,rock
Avicii,Hey Brother,0,FALSE,2013,0.2,20,0.545,0.78,0.0436,0.0309,0.0828,0.458,"pop, Dance/Electronic"
Natasha Bedingfield,Unwritten,0,FALSE,2004,0.2,20,0.706,0.8,0.0399,0.00584,0.0822,0.629,pop
LL Cool J,Luv U Better,0,FALSE,2002,0.2,20,0.668,0.806,0.239,0.232,0.18,0.721,"hip hop, pop, R&B"
T-Pain,Bartender (feat. Akon),1,TRUE,2007,0.2,20,0.675,0.394,0.133,0.0611,0.214,0.405,"hip hop, pop, R&B"
The White Stripes,Seven Nation Army,0,FALSE,2003,0.2,20,0.741,0.469,0.0805,0.00601,0.306,0.313,"rock, blues"
Jay Sean,Down,0,FALSE,2009,0.2,20,0.657,0.695,0.0321,0.0108,0.0822,0.683,"hip hop, pop, R&B"
Jay Sean,Down,0,FALSE,2009,0.2,20,0.657,0.695,0.0321,0.0108,0.0822,0.683,"hip hop, pop, R&B"
Ariana Grande,Into You,0,FALSE,2016,0.2,20,0.623,0.734,0.107,0.0162,0.145,0.37,pop
Adele,Someone Like You,0,FALSE,2011,0.2,20,0.554,0.321,0.028,0.893,0.0996,0.288,"pop, R&B"
Baby Bash,"Baby, I'm Back",1,TRUE,2005,0.2,20,0.899,0.365,0.105,0.0508,0.097,0.749,"hip hop, pop, R&B, latin"
blackbear,do re mi,1,TRUE,2017,0.2,20,0.745,0.593,0.0526,0.00522,0.123,0.17,"hip hop, pop, Dance/Electronic"
Ava Max,So Am I,0,FALSE,2019,0.2,20,0.682,0.656,0.0435,0.0737,0.353,0.607,pop
Avicii,Wake Me Up,0,FALSE,2013,0.2,20,0.532,0.783,0.0523,0.0038,0.161,0.643,"pop, Dance/Electronic"
